Running erasure:
absl::flat_hash_map;absl::node_hash_map;boost::unordered_map;boost::unordered_flat_map;boost::unordered_node_map
2433982;30.7782;63.0583;58.9392;24.9317;40.6339
2555625;29.8765;61.389;58.6685;24.8476;40.7342
2683350;28.8411;52.8588;58.0951;24.7652;40.636
2817461;27.7312;61.5376;57.1431;24.7045;40.3819
2958277;26.5573;57.368;56.7068;24.6478;40.5174
3106133;25.3145;53.3504;55.8805;24.5886;40.4446
3261381;23.95;50.4726;63.3893;24.5215;40.4187
3424391;22.4061;47.3462;63.4574;24.5405;40.2918
3595551;20.8;41.1;64.85;25.7749;41.3369
3775269;34.5624;55.9503;64.1998;25.6153;41.1493
3963972;33.9219;63.2973;63.5197;25.4697;41.0284
4162110;33.3423;74.1132;62.6693;25.3334;40.9132
4370154;32.626;61.5146;60.9077;25.2154;40.8171
4588600;31.865;63.7365;60.1035;25.1087;40.7271
4817968;30.8683;57.6523;59.5572;24.9989;40.6314
5058804;30.0535;58.3314;58.7223;24.9121;40.4955
5311681;29.0316;53.8388;58.6694;24.8208;40.4228
5577201;27.9183;58.0978;57.6079;24.7595;40.3564
5855997;26.7275;59.6008;57.1092;24.6267;40.2854
6148732;25.4801;54.9722;56.3406;24.569;40.2377
6456103;24.2011;55.9489;65.7696;24.5185;40.1882
6778842;22.6981;51.5177;65.6665;24.4637;40.1158
7117717;21.1696;54.4946;65.1529;25.8184;41.4281
7473535;34.5836;67.3846;62.7725;25.6054;41.2351
7847143;34.04;57.9173;62.7056;25.4593;41.1158
8239431;33.4178;53.6722;62.3738;25.3416;40.9882
8651333;32.6389;60.7675;62.6098;25.2178;40.8476
9083830;31.9765;66.8139;60.3384;25.0812;40.7953
9537951;31.1642;63.892;60.6223;24.9909;40.6471
