Scattered successful lookup:
absl::flat_hash_map;absl::node_hash_map;boost::unordered_map;boost::unordered_flat_map;boost::unordered_node_map
2433982;67.636;55.2044;67.8115;60.2343;53.249
2555625;67.7168;55.0483;69.4068;60.6075;53.653
2683350;67.9575;55.4563;71.078;60.4401;54.0108
2817461;68.163;55.8339;72.9647;60.9277;53.6266
2958277;68.2583;56.5429;74.8171;61.2913;54.7338
3106133;69.1322;57.3323;76.4693;62.8898;54.8994
3261381;69.4539;58.0834;69.5344;62.3701;55.543
3424391;70.6254;58.7558;70.7605;63.3729;56.6781
3595551;72.2276;60.1597;71.9913;78.1717;78.2753
3775269;81.0243;80.0878;73.3066;78.2011;78.4395
3963972;81.2292;80.3032;74.689;78.2986;78.503
4162110;80.988;80.0622;76.1416;78.2007;78.6227
4370154;81.0861;80.321;77.7041;78.2808;78.8788
4588600;81.0887;80.251;79.1352;78.3731;79.1459
4817968;81.2188;80.4751;80.8352;78.6782;79.0076
5058804;81.6143;80.7414;82.5711;78.8024;79.1816
5311681;81.7199;81.0141;84.2185;78.9986;79.743
5577201;82.0266;81.2512;85.9233;79.1107;79.9313
5855997;82.4637;81.535;87.6837;79.8606;80.6117
6148732;82.6451;82.2002;89.4551;80.0852;80.9266
6456103;83.6483;83.0365;69.4703;80.95;82.066
6778842;84.8272;84.176;70.3901;81.5926;83.1584
7117717;85.975;85.8328;71.4052;92.4366;94.088
7473535;95.8242;94.4948;72.4475;92.3722;94.1336
7847143;95.7617;95.7768;72.7188;92.4944;94.7098
8239431;95.7588;95.7986;74.8305;92.4387;94.3398
8651333;95.7988;94.8205;76.1701;92.6008;94.9288
9083830;95.8247;94.6072;76.6609;92.585;93.9565
9537951;95.7905;96.1032;79.1218;92.8786;95.4134
Scattered unsuccessful lookup:
absl::flat_hash_map;absl::node_hash_map;boost::unordered_map;boost::unordered_flat_map;boost::unordered_node_map
10000;10.4617;10.5048;18.0654;8.44135;8.42083
10500;11.2279;11.3084;18.6023;8.45258;8.41447
11025;12.3792;12.6597;19.1153;8.53069;8.35383
11576;14.1777;14.4802;19.6924;8.53711;8.47088
12154;16.6399;17.2377;20.3631;8.73342;8.56533
12760;19.7251;20.4327;16.1045;9.36167;9.13703
13396;23.8814;24.6744;16.7509;10.7897;10.601
14063;28.7485;29.6324;17.4086;8.39851;8.39705
14763;9.52082;9.51346;18.0935;8.40177;8.40911
15498;9.67429;9.6935;18.6867;8.43686;8.45289
16269;9.85777;9.86891;19.3092;8.45695;8.48567
17078;10.0196;10.0522;19.8221;8.47101;8.48182
17927;10.2854;10.4031;20.3933;8.50357;8.51602
18818;10.7269;10.815;21.1485;8.51537;8.57928
19753;11.3644;11.353;21.5061;8.53914;8.58448
