Running insertion:
absl::flat_hash_map;absl::node_hash_map;boost::unordered_map;boost::unordered_flat_map;boost::unordered_node_map
5577201;192.71;708.524;673.45;100.019;509.1
5855997;190.971;703.243;674.929;98.3226;506.959
6148732;189.228;698.937;670.585;96.8319;507
6456103;187.716;694.749;807.126;95.4848;507.103
6778842;186.222;690.578;793.094;94.174;507.641
7117717;185.082;684.012;779.907;128.202;608.867
7473535;242.296;867.545;768.081;126.044;599.312
7847143;238.715;851.458;756.369;123.747;590.066
8239431;235.807;837.44;745.476;121.984;582.093
8651333;232.638;823.07;735.661;120.136;573.686
9083830;229.93;809.394;726.595;118.553;565.959
9537951;227.556;795.165;718.098;116.633;558.482
