Running erasure:
absl::flat_hash_map;indivi::flat_wmap;boost::unordered_map;boost::unordered_flat_map;boost::unordered_node_map
2433982;20.9158;17.6772;40.6787;17.2468;27.919
2555625;20.432;17.534;40.4621;16.8891;27.5565
2683350;19.945;17.3987;40.2026;16.5275;27.2298
2817461;19.4761;17.295;39.8775;16.1772;26.9084
2958277;18.9739;17.1876;39.6316;15.8504;26.5449
3106133;18.4969;17.1005;39.4523;15.5093;26.2017
3261381;17.9007;17.033;46.796;15.1768;25.4902
3424391;17.2012;18.6956;46.3195;14.8186;25.0321
3595551;16.3707;18.5136;45.9133;19.739;30.2878
3775269;23.1685;18.3084;45.304;19.2271;29.2736
3963972;22.7561;18.1156;44.9544;18.7585;29.0571
4162110;22.3464;17.968;44.5119;18.3664;28.6375
4370154;21.9167;17.8325;43.8112;17.9763;28.2869
4588600;21.5321;17.6966;43.6045;17.5686;27.9522
4817968;21.02;17.5921;42.875;17.3044;27.6547
5058804;20.569;17.4798;42.1793;16.8899;27.6312
5311681;20.096;17.3719;41.6725;16.5801;27.3016
5577201;19.5709;17.2834;41.3883;16.2358;26.9748
5855997;19.0653;17.2331;41.0408;15.9005;26.6486
6148732;18.5694;17.115;40.5875;15.5801;26.2823
6456103;17.9734;17.0279;48.5787;15.2284;25.5731
6778842;17.3465;18.7546;47.8835;14.8989;25.2616
7117717;16.6005;18.5476;46.3744;19.7299;30.1993
7473535;23.2293;18.3293;46.5632;19.2788;29.809
7847143;22.8995;18.1739;45.6454;18.7784;29.5243
8239431;22.466;18.0042;45.1423;18.3906;29.1616
8651333;22.0256;17.8519;44.4303;18.0162;28.7844
9083830;21.5733;17.7287;43.8716;17.657;28.3626
9537951;21.0963;17.5984;43.2221;17.2819;27.996
