Scattered successful lookup:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
159046;42.0938;29.3742;33.3064
166970;43.1084;29.8318;34.0101
175290;44.2698;30.3711;34.7095
184026;45.5598;30.8569;35.4982
193198;46.673;31.482;36.3129
202828;47.955;24.696;27.9543
212939;34.9086;25.3999;28.9457
223555;36.4019;26.2543;29.9947
234701;37.8382;27.2027;30.8306
246404;39.4102;28.0388;31.852
258692;42.5071;28.8609;32.9878
271594;44.8513;29.9143;34.2772
285141;45.7279;31.0928;35.5656
299365;47.7328;32.0874;36.8146
314300;50.3263;33.1204;38.2312
329981;53.7032;34.6769;39.9927
346446;57.4402;36.465;42.7564
363734;61.4965;38.5836;45.1808
381886;65.6831;40.6699;48.0061
400945;70.1638;36.9802;42.7807
420956;67.6834;39.2059;45.7643
441967;71.9234;41.6942;48.3477
464028;75.8836;44.0685;51.0921
487192;80.3932;46.7811;53.9074
511514;85.3079;49.6229;57.1779
537052;90.5233;52.4434;61.2113
563866;95.5669;55.3378;64.9037
592020;100.83;58.4207;68.5578
621581;106.536;61.4652;72.1192
652620;112.083;64.4545;75.9841
685210;118.139;67.7317;79.7924
719429;124.423;71.0024;83.809
755358;130.856;74.3665;88.2197
793083;137.471;65.0405;77.5737
832694;115.526;67.2366;81.0994
874285;119.101;69.5064;83.6984
917955;123.15;71.8577;86.2701
963808;127.049;74.2803;89.0959
1011953;131.284;76.8496;93.6865
1062505;135.747;79.3606;96.3562
1115584;140.471;82.0283;99.9446
1171316;145.293;84.7115;103.968
1229834;150.3;87.4752;107.764
1291277;155.696;90.4135;112.011
1355792;161.378;93.4606;116.206
1423532;167.347;96.5518;120.743
1494659;173.533;99.7273;125.369
1569342;180.235;103.172;130.468
1647759;141.003;84.52;107.76
1730096;144.481;86.7067;110.601
1816549;147.91;88.8994;114.198
1907324;151.529;90.9904;117.395
2002637;155.503;93.4122;120.239
2102715;159.632;95.8004;123.838
2207796;163.831;98.3534;127.471
2318131;169.009;100.961;130.725
2433982;174.198;103.525;135.088
2555625;179.409;106.261;138.928
2683350;184.803;109.021;143.146
2817461;190.656;112.053;147.314
2958277;196.811;115.11;152.062
