Scattered erasure, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
202828;101.974;64.7299;59.0212
212939;103.261;66.3814;59.2891
223555;104.183;67.694;59.5677
234701;105.872;69.6374;59.6797
246404;107.017;63.0238;61.7012
258692;102.508;65.4611;62.3313
271594;104.85;68.3771;64.0896
285141;107.629;71.6053;65.7807
299365;110.7;74.7121;67.3433
314300;113.993;78.6091;68.8304
329981;117.47;82.384;70.6124
346446;121.715;86.6884;72.9383
363734;126.518;91.2911;75.4639
381886;131.933;96.5827;78.643
400945;138.615;102.005;82.5502
420956;146.484;107.588;87.0859
441967;154.556;113.735;91.7341
464028;163.669;120.303;96.8127
487192;173.538;127.014;102.285
511514;186.256;127.761;117.382
537052;192.118;133.84;123.952
563866;204.333;140.33;130.941
592020;216.196;148.144;137.883
621581;229.249;155.665;145.267
652620;242.187;163.256;153.04
685210;257.077;172.304;159.682
719429;271.298;180.317;166.569
755358;285.99;190.141;174.212
793083;300.167;199.102;180.36
832694;316.089;208.703;186.686
874285;328.686;218.774;193.06
917955;344.119;228.457;199.64
963808;359.792;239.994;204.914
1011953;375.068;218.074;221.649
1062505;367.449;223.33;227.229
1115584;379.22;230.89;233.198
1171316;391.16;237.302;236.867
1229834;397.981;245.197;241.581
1291277;413.257;252.944;246.497
1355792;425.464;259.917;251.13
1423532;434.265;267.109;257.258
1494659;444.089;274.569;258.901
1569342;453.676;282.663;262.547
1647759;471.519;290.585;266.708
1730096;481.107;298.723;269.989
1816549;494.23;308.973;272.29
1907324;505.819;317.171;277.27
2002637;517.045;278.704;288.941
2102715;483.612;283.787;292.411
2207796;491.921;291.862;294.209
2318131;503.869;297.033;297.337
2433982;513.327;303.512;302.631
2555625;523.964;313.253;303.818
2683350;533.271;319.711;305.025
2817461;543.393;327.755;307.287
2958277;552.526;335.549;309.287
