Running insertion:
absl::flat_hash_map;absl::node_hash_map;boost::unordered_map;boost::unordered_flat_map;boost::unordered_node_map
3963972;174.711;496.627;973.592;163.032;459.878
4162110;172.584;481.406;947.813;169.424;448.748
4370154;175.948;468.503;924.296;165.864;436.218
4588600;178.54;485.044;925.632;168.013;452.217
4817968;178.955;474.508;899.2;171.097;438.884
5058804;179.219;461.284;873.107;170.414;431.12
5311681;177.767;451.972;858.17;169.12;418.787
5577201;176.367;440.931;859.823;166.771;404.105
5855997;176.708;419.885;824.083;162.7;393.735
6148732;176.862;420.016;818.805;166.394;387.853
6456103;176.449;413.484;1150.06;165.788;385.359
6778842;175.84;406.397;1137.53;165.125;378.122
7117717;174.39;396.677;1056.39;202.191;554.07
7473535;206.485;586.987;1052.42;206.116;532.666
7847143;205.652;565.013;1031.23;198.145;513.386
8239431;203.709;545.185;997.907;196.245;500.744
8651333;202.208;532.231;979.928;194.397;491.374
9083830;199.734;526.255;957.196;193.1;480.942
9537951;198.775;503.484;945.51;198.001;479.125
