No-rehash runnning insertion, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
184026;75.5607;64.4966;86.7327
193198;76.3715;65.6522;87.4883
202828;76.7881;66.3869;88.3433
212939;77.9218;67.6176;89.1463
223555;78.8852;68.5607;90.0014
234701;79.8087;69.9283;90.9515
246404;80.9784;61.5024;86.7653
258692;82.3369;62.2919;87.5613
271594;83.188;63.2305;88.5594
285141;84.4112;63.8307;88.8834
299365;85.8562;64.8441;89.9125
314300;87.3588;65.9389;90.787
329981;79.1377;66.6185;92.3047
346446;79.8485;68.0268;92.9124
363734;81.061;68.9905;93.978
381886;81.845;70.4565;95.1837
400945;83.5835;71.7562;96.6974
420956;84.5264;73.4197;97.672
441967;85.904;74.7973;99.091
464028;88.0633;76.9539;100.89
487192;90.3861;78.7254;102.626
511514;92.754;69.5631;98.4617
537052;95.7224;71.1439;100.997
563866;99.3776;73.046;104.572
592020;103.863;74.9894;108.666
621581;108.547;76.9341;112.329
652620;114.053;79.7876;116.599
685210;111.869;82.8009;121.843
719429;116.014;86.1504;126.509
755358;122.239;90.1692;133.553
793083;127.732;94.2745;139.247
832694;134.083;98.7773;146.68
874285;140.001;103.148;152.18
917955;146.557;109.6;160.838
963808;154.41;115.323;168.581
1011953;161.719;97.6647;172.274
1062505;169.737;102.728;178.69
1115584;177.354;106.709;186.292
1171316;184.544;111.903;192.996
1229834;194.401;116.672;200.243
1291277;203.072;122.492;207.728
1355792;192.657;126.982;214.409
1423532;199.068;132.961;221.998
1494659;204.893;138.752;228.66
1569342;212.21;145.037;237.122
1647759;219.233;151.111;244.156
1730096;225.3;158.556;253.558
1816549;234.664;166.025;260.437
1907324;240.643;172.982;269.269
2002637;249.017;153.2;268.315
2102715;256.224;157.538;274.017
2207796;263.648;162.695;280.114
2318131;272.123;167.981;285.689
2433982;281.26;173.246;292.678
2555625;290.557;179.171;299.917
2683350;265.748;185.562;306.036
2817461;271.479;191.836;313.366
2958277;277.246;198.577;320.4
Runnning insertion, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;65.4834;66.4813;72.6919
10500;65.1603;66.3525;73.0669
11025;65.1685;65.6882;72.764
11576;64.5181;65.0994;72.5057
12154;64.2921;64.4587;72.0729
12760;64.1218;72.5783;77.06
13396;63.5286;71.8103;77.2795
14063;63.3272;70.8715;76.9181
14763;63.3771;70.1114;77.0162
15498;63.0734;69.5737;77.2108
16269;63.307;68.8996;77.1986
17078;71.4289;68.4182;77.2879
17927;71.4514;67.7618;77.5999
18818;70.7978;67.0012;77.3839
19753;70.6589;66.9128;77.9815
20734;70.4441;66.3406;77.6985
21764;70.4675;66.2017;77.856
22845;70.1724;65.5542;77.8511
23980;70.1451;65.5813;78.3067
25171;69.4631;75.1726;84.8115
26421;69.9945;75.0376;84.9067
27733;69.2887;74.1031;84.9036
29110;69.4216;73.5732;85.184
30555;69.5205;72.7436;85.3402
32072;69.6429;72.0372;85.4352
33664;82.8698;71.4716;85.5029
35335;82.4705;70.7243;85.7398
37089;81.8697;70.4899;85.8449
38930;81.2097;70.4794;86.1915
40863;80.4172;69.6802;86.0603
42892;80.0644;68.9886;86.053
45022;79.766;68.9703;86.3961
47258;79.0768;68.4285;86.4539
49605;78.6932;80.1348;94.0097
52069;78.1167;79.0172;93.687
54656;77.8877;77.7932;93.9437
57372;77.9365;77.2806;93.5961
60223;77.4773;76.4868;93.655
63216;77.3299;75.8578;93.6727
66358;92.0973;74.9905;93.5816
69657;90.8868;74.4152;93.4729
73120;90.0371;73.6109;93.3788
