Scattered erasure, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
271594;190.694;200.728;205.713
285141;194.419;206.046;208.772
299365;199.739;211.096;212.971
314300;202.575;216.586;215.973
329981;203.977;221.235;219.74
346446;207.713;227.696;223.121
363734;210.082;231.588;226.745
381886;213.429;235.737;230.399
400945;216.744;240.177;232.686
420956;219.044;245.471;235.987
441967;223.731;249.229;238.271
464028;227.535;253.056;244.08
487192;231.592;257.564;247.554
511514;234.702;254.152;248.17
537052;237.541;257.818;250.496
563866;241.498;261.584;254.445
592020;245.238;265.971;256.215
621581;249.433;269.302;260.279
652620;252.31;272.758;261.889
685210;247.653;276.995;265.961
719429;249.561;279.576;268.53
755358;252.525;283.222;271.85
793083;254.123;287.087;272.771
832694;258.037;291.249;276.219
874285;260.285;294.407;279.598
917955;263.084;297.465;282.371
963808;266.68;301.418;284.441
1011953;269.818;294.409;285.085
1062505;275.464;296.792;287.936
1115584;278.527;300.743;292.371
1171316;279.944;302.816;294.175
1229834;284.318;305.738;295.185
1291277;288.492;309.445;299.024
1355792;279.704;313.07;301.012
1423532;282.888;316.863;304.029
1494659;286.786;320.138;306.395
1569342;289.466;324.249;310
1647759;291.333;328.668;312.164
1730096;295.126;334.054;315.261
1816549;299.935;337.511;319.35
1907324;303.032;343.796;321.542
2002637;307.936;334.564;321.518
2102715;313.062;340.112;324.982
2207796;317.441;345.467;328.854
2318131;323.477;352.031;333.844
2433982;328.69;357.454;337.444
2555625;334.508;363.475;343.448
2683350;328.545;370.08;348.861
2817461;337.546;376.881;353.8
2958277;343.678;385.445;360.55
