No-rehash runnning insertion, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
184026;89.5923;68.9965;97.9441
193198;91.5011;70.483;98.9254
202828;92.1413;71.7698;99.657
212939;90.9013;73.6203;100.897
223555;92.6981;74.3528;101.66
234701;91.8257;76.0425;102.763
246404;92.1851;63.7733;94.7391
258692;94.249;64.6638;95.6569
271594;92.3344;66.2463;96.5056
285141;94.3321;67.1482;97.6617
299365;94.6666;68.191;98.7418
314300;93.5553;69.6637;100.061
329981;95.8223;70.8402;101.188
346446;96.2535;72.2312;102.726
363734;98.5596;74.13;104.541
381886;98.8757;75.5381;106.563
400945;100.55;77.3284;108.899
420956;103.381;79.2538;111.205
441967;103.42;81.8918;114.13
464028;104.553;84.4667;117.329
487192;108.204;87.0716;120.719
511514;109.73;76.2941;120.048
537052;114.275;78.5635;124.221
563866;114.438;80.7969;128.538
592020;118.039;83.8294;133.427
621581;123.167;86.731;139.017
652620;125.812;90.9071;145.136
685210;130.608;94.3427;151.637
719429;137.573;99.6321;158.654
755358;140.859;103.939;166.236
793083;148.895;109.516;174.617
832694;154.838;116.186;183.06
874285;159.567;121.979;193.884
917955;168.76;129.527;202.058
963808;176.262;137.521;212.31
1011953;186.213;116.053;216.71
1062505;192.174;121.92;225.34
1115584;198.702;128.015;234.214
1171316;209.403;134.454;242.923
1229834;215.85;140.802;251.623
1291277;220.243;146.855;260.893
1355792;231.714;154.748;270.488
1423532;240.297;162.193;280.303
1494659;251.897;170.972;290.056
1569342;257.649;179.122;300.393
1647759;264.781;187.694;310.656
1730096;277.12;197.272;321.679
1816549;283.019;207.744;332.461
1907324;288.68;217.321;343.806
2002637;301.041;191.889;342.041
2102715;309.465;198.844;350.567
2207796;321.494;206.33;358.889
2318131;329.817;213.467;367.547
2433982;331.192;221.069;376.254
2555625;343.48;228.846;384.56
2683350;350.343;237.264;393.513
2817461;355.363;245.846;402.642
2958277;368.071;254.598;411.776
Runnning insertion, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;61.8808;58.4406;74.1187
10500;72.3313;57.6876;73.8377
11025;71.3267;57.2322;73.8158
11576;70.7006;56.4705;73.8732
12154;70.0836;56.2058;73.7934
12760;69.2395;67.7295;80.2992
13396;68.9896;67.2283;80.3078
14063;68.3893;66.0792;80.5265
14763;68.0255;65.4053;80.549
15498;67.7583;64.1755;80.5861
16269;68.216;63.7722;81.1407
17078;67.6654;63.1509;81.2685
17927;67.0721;62.6133;81.451
18818;66.384;61.8588;81.2122
19753;66.5034;61.6354;81.8628
20734;66.7197;60.8308;81.7429
21764;78.4342;60.9806;82.1547
22845;77.8467;60.4971;82.3615
23980;77.1982;60.3931;82.9408
25171;76.8418;74.3935;91.088
26421;76.0072;74.4943;91.1517
27733;75.8909;73.8759;91.6612
29110;75.604;73.0247;92.1927
30555;75.3977;71.8642;91.8646
32072;75.2131;71.3071;92.5534
33664;74.9488;70.7977;92.8122
35335;75.1425;70.1376;92.9574
37089;74.7509;69.5359;93.302
38930;74.7181;69.3484;93.8765
40863;75.0372;68.5745;93.7348
42892;88.5402;68.3839;94.0124
45022;87.9956;68.2537;94.3152
47258;87.0771;67.7107;94.5437
49605;86.6094;84.3332;103.912
52069;86.1164;83.0143;103.943
54656;85.6195;81.8944;104.209
57372;85.2366;81.1454;104.293
60223;84.8258;80.0644;104.219
63216;84.5978;79.0397;104.64
66358;84.4642;78.3251;104.406
69657;84.2979;77.6055;104.621
73120;84.3271;76.8177;104.49
76756;83.6993;76.1772;104.573
80573;83.6441;75.6019;104.578
84580;83.4362;74.8285;104.266
88787;97.4192;74.2352;103.976
93204;96.4027;73.6854;103.721
97841;95.2444;73.1983;103.851
102709;94.6545;88.8482;113.071
107820;93.9774;87.6511;112.873
113186;93.2153;86.5603;112.777
118820;92.611;85.3848;112.472
124735;91.8202;84.6036;112.526
130945;91.3511;83.767;111.924
137465;90.8631;82.7749;111.928
144311;90.648;81.9544;111.403
151499;90.0465;81.2368;111.34
159046;89.7646;80.8904;110.962
166970;89.3793;80.0896;110.934
175290;104.92;79.5363;110.443
184026;103.749;78.9068;110.177
193198;102.634;78.3779;109.93
202828;101.628;96.3525;121.676
212939;101.049;95.0858;121.728
223555;100.358;93.7553;121.702
234701;99.7605;92.6054;121.665
246404;99.2558;91.6412;122.576
258692;98.9712;90.7155;122.64
271594;98.5166;90.2975;123.119
285141;98.3342;89.7557;123.68
299365;98.4155;89.5402;124.479
314300;98.6314;89.1602;124.771
329981;98.8091;88.9052;125.534
346446;99.4745;88.7919;126.545
363734;136.351;88.8621;128.634
381886;135.406;88.9717;129.889
400945;135.226;137.198;165.34
420956;135.397;136.34;168.57
441967;135.495;135.336;171.949
464028;136.75;134.047;175.082
487192;138.405;132.492;178.214
