No-rehash runnning insertion:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
193190;101.574;76.3195;82.0836
202820;100.533;97.5319;104.409
212931;99.4807;95.5706;102.526
223547;98.7473;93.7327;100.699
234692;98.3168;92.0831;99.1965
246395;97.8936;90.6158;98.1786
258683;97.7661;89.3664;96.9933
271585;97.676;88.4596;95.8043
285132;97.8054;87.3839;94.9554
299354;98.0408;86.6291;93.9657
314289;98.4897;86.0554;93.48
329969;99.0602;85.608;93.2757
346432;99.8451;85.0481;92.373
363719;128.972;85.0293;92.4914
381870;128.002;85.0755;92.9444
400928;127.28;130.501;147.31
420937;127.157;128.526;146.041
441947;127.341;126.942;144.238
464005;128.401;125.245;142.863
487165;129.86;123.938;141.07
511485;131.651;123.303;140.606
537019;133.444;122.526;140.018
563827;135.788;122.345;139.421
591977;138.532;122.326;138.627
621532;141.707;122.625;138.578
652567;145.293;123.037;138.867
685151;149.078;123.882;139.867
719359;210.944;124.967;140.484
755280;210.83;126.303;141.773
792997;211.341;181.611;222.111
832595;211.973;181.214;221.014
874177;213.126;180.244;219.168
917832;214.751;179.403;217.427
963677;216.707;178.71;214.917
1011813;218.957;178.166;213.491
1062351;221.649;177.975;212.773
1115422;223.958;177.964;210.657
1171143;227.162;178.23;211.254
1229634;230.821;178.77;211.165
1291062;234.51;179.84;211.821
1355554;238.521;180.931;212.431
1423274;242.816;182.572;213.05
1494380;318.925;184.344;213.908
1569031;317.03;186.379;216.097
1647417;315.77;244.063;308.32
1729734;314.899;241.807;303.147
1816153;314.068;239.775;300.482
1906885;313.867;238.277;297.559
2002164;313.859;237.103;293.358
2102198;314.563;236.39;291.587
2207233;315.836;235.669;290.168
2317508;317.194;235.556;289.195
2433290;319.183;235.507;288.376
2554854;321.142;235.991;288.602
2682511;323.617;236.52;288.156
2816546;326.726;237.505;289.014
2957287;516.962;238.463;288.588
