Running erasure:
absl::flat_hash_map;absl::node_hash_map;boost::unordered_map;boost::unordered_flat_map;boost::unordered_node_map
2102715;0.153854;0.297157;0.306765;0.130563;0.263671
2207796;0.149165;0.294594;0.309303;0.128555;0.261539
2318131;0.144311;0.291825;0.311612;0.126587;0.259412
2433982;0.138935;0.288271;0.315037;0.124641;0.257165
2555625;0.133708;0.285301;0.317316;0.12278;0.255029
2683350;0.128828;0.281399;0.319749;0.120462;0.252855
2817461;0.123548;0.277473;0.320917;0.118185;0.250642
2958277;0.118523;0.27351;0.321392;0.11557;0.248512
3106133;0.113288;0.26843;0.323931;0.11314;0.246325
3261381;0.108125;0.263215;0.300822;0.110413;0.244126
3424391;0.102944;0.257345;0.302933;0.107798;0.241655
3595551;0.0978093;0.250604;0.304086;0.137141;0.271056
3775269;0.172675;0.302044;0.305456;0.135097;0.268625
3963972;0.168355;0.300189;0.306591;0.132951;0.266469
4162110;0.163158;0.297799;0.307977;0.131027;0.264465
4370154;0.158064;0.295109;0.309893;0.129127;0.26212
4588600;0.152554;0.292156;0.312888;0.127118;0.260031
4817968;0.14677;0.289192;0.316151;0.125129;0.257839
5058804;0.141816;0.28581;0.319171;0.123032;0.255681
5311681;0.136227;0.282046;0.320818;0.120891;0.253387
5577201;0.131035;0.278317;0.321379;0.118584;0.251316
5855997;0.125454;0.274158;0.323692;0.116239;0.249116
6148732;0.120178;0.269692;0.32569;0.113736;0.247041
6456103;0.114891;0.264516;0.301096;0.111199;0.244629
6778842;0.109466;0.258655;0.30318;0.108398;0.242106
7117717;0.104015;0.251955;0.304111;0.146626;0.276558
7473535;0.173766;0.316492;0.305436;0.144138;0.274491
7847143;0.169369;0.314612;0.306701;0.141591;0.271865
8239431;0.164345;0.312169;0.308092;0.139222;0.269365
8651333;0.159615;0.309115;0.309864;0.136791;0.266964
9083830;0.153947;0.306134;0.312619;0.134619;0.26482
9537951;0.14863;0.302875;0.315359;0.132204;0.262018
