#logical cores: 8
Parallel load (N=500000, theta=0.01):
#threads;tbb::concurrent_hash_map;gtl::parallel_flat_hash_map;boost::concurrent_flat_map;boost::concurrent_flat_map bulk;boost::concurrent_node_map;boost::concurrent_node_map bulk
4;51.8897;76.3503;103.361;130.773;93.7668;122.468
5;50.5592;63.5745;85.9563;110.433;78.9555;104.513
6;51.7069;61.6477;70.3202;99.4714;64.909;96.2934
7;52.9906;59.8723;67.8724;98.3214;63.5221;94.763
8;54.5399;57.8803;59.3913;96.577;56.5888;94.1308
9;54.7416;58.2653;62.5634;95.3386;60.1034;93.7426
10;54.8234;59.6551;62.1884;92.3057;58.7133;93.5392
11;54.6321;59.9555;64.3206;93.5579;62.2657;91.5578
12;54.7256;60.0646;63.8786;93.4356;62.053;91.6769
13;54.8229;60.1838;67.7466;94.0583;65.2378;92.2202
14;54.7916;60.4062;66.5038;94.0338;64.0878;92.169
15;54.9568;60.5065;68.4651;94.6422;66.5958;92.6923
16;54.855;60.5126;69.267;94.5242;65.831;92.4794
